date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:35	68706/68706	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:34%20GMT	https://ghcampusmarket.com/product/amazon-kindle-paperwhite-2	/home/zero/ghcampus_clone/ghcampusmarket.com/product/amazon-kindle-paperwhite-2.html	(from https://ghcampusmarket.com/)
05:03:38	68686/68686	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:37%20GMT	https://ghcampusmarket.com/product/amazon-kindle-paperwhite	/home/zero/ghcampus_clone/ghcampusmarket.com/product/amazon-kindle-paperwhite.html	(from https://ghcampusmarket.com/)
05:03:39	2861891/2861891	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Feb%202025%2011:51:52%20GMT	https://ghcampusmarket.com/images/products/amazon-kindle-paperwhite-2_2502151151511178.jpg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/amazon-kindle-paperwhite-2_2502151151511178.jpg	(from https://ghcampusmarket.com/)
05:03:43	62991/62991	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:42%20GMT	https://ghcampusmarket.com/product/vodafone-mobile-broadband	/home/zero/ghcampus_clone/ghcampusmarket.com/product/vodafone-mobile-broadband.html	(from https://ghcampusmarket.com/)
05:03:44	2861891/2861891	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Feb%202025%2011:51:27%20GMT	https://ghcampusmarket.com/images/products/amazon-kindle-paperwhite_2502151151265543.jpg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/amazon-kindle-paperwhite_2502151151265543.jpg	(from https://ghcampusmarket.com/)
05:03:46	64295/64295	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:46%20GMT	https://ghcampusmarket.com/product/smart-visual-ear-cleaning-device	/home/zero/ghcampus_clone/ghcampusmarket.com/product/smart-visual-ear-cleaning-device.html	(from https://ghcampusmarket.com/)
05:03:47	1699609/1699609	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202025%2011:55:21%20GMT	https://ghcampusmarket.com/images/products/vodafone-mobile-broadband_2502111155214406.jpg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/vodafone-mobile-broadband_2502111155214406.jpg	(from https://ghcampusmarket.com/)
05:03:49	76346/76346	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:49%20GMT	https://ghcampusmarket.com/product/swift-lift	/home/zero/ghcampus_clone/ghcampusmarket.com/product/swift-lift.html	(from https://ghcampusmarket.com/)
05:03:50	2245357/2245357	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Feb%202025%2011:49:09%20GMT	https://ghcampusmarket.com/images/products/smart-visual-ear-cleaning-device_2502111149091526.jpg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/smart-visual-ear-cleaning-device_2502111149091526.jpg	(from https://ghcampusmarket.com/)
05:03:52	326964/326964	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20May%202024%2008:16:34%20GMT	https://ghcampusmarket.com/images/products/swift-lift_2405310816346632.jpeg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/swift-lift_2405310816346632.jpg	(from https://ghcampusmarket.com/)
05:03:53	62738/62738	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:53%20GMT	https://ghcampusmarket.com/product/oil	/home/zero/ghcampus_clone/ghcampusmarket.com/product/oil.html	(from https://ghcampusmarket.com/)
05:03:54	118737/118737	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20May%202024%2022:15:08%20GMT	https://ghcampusmarket.com/images/products/oil_2405301015084196.jpeg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/oil_2405301015084196.jpg	(from https://ghcampusmarket.com/)
05:03:55	65101/65101	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:55%20GMT	https://ghcampusmarket.com/product/iphone-7-plus-128	/home/zero/ghcampus_clone/ghcampusmarket.com/product/iphone-7-plus-128.html	(from https://ghcampusmarket.com/)
05:03:58	66863/66863	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:03:57%20GMT	https://ghcampusmarket.com/product/acer-chromebook-512	/home/zero/ghcampus_clone/ghcampusmarket.com/product/acer-chromebook-512.html	(from https://ghcampusmarket.com/)
05:03:58	1474993/1474993	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2010:08:58%20GMT	https://ghcampusmarket.com/images/products/iphone-7-plus-128_2312231008582686.jpeg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/iphone-7-plus-128_2312231008582686.jpg	(from https://ghcampusmarket.com/)
05:04:01	290078/290078	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Nov%202023%2013:51:20%20GMT	https://ghcampusmarket.com/images/products/acer-chromebook-512_2311230151198282.jpg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/acer-chromebook-512_2311230151198282.jpg	(from https://ghcampusmarket.com/)
05:04:02	65258/65258	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Jun%202025%2005:04:01%20GMT	https://ghcampusmarket.com/product/tiens-slimming-tea	/home/zero/ghcampus_clone/ghcampusmarket.com/product/tiens-slimming-tea.html	(from https://ghcampusmarket.com/)
05:04:02	44571/44571	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Nov%202023%2010:03:36%20GMT	https://ghcampusmarket.com/images/products/tiens-slimming-tea_2311071003363242.jpg	/home/zero/ghcampus_clone/ghcampusmarket.com/images/products/tiens-slimming-tea_2311071003363242.jpg	(from https://ghcampusmarket.com/)
